price,date
7186.8737411,2020-04-20T00:00:00.000Z
7570.13893823,2020-04-26T00:00:00.000Z
8983.61414879,2020-05-03T00:00:00.000Z
9840.90638396,2020-05-09T00:00:00.000Z
9333.23987276,2020-05-16T00:00:00.000Z
9080.33473763,2020-05-22T00:00:00.000Z
9528.35562913,2020-05-29T00:00:00.000Z
9655.85445253,2020-06-04T00:00:00.000Z
9870.07852908,2020-06-11T00:00:00.000Z
9533.78375101,2020-06-17T00:00:00.000Z
9644.07594221,2020-06-23T00:00:00.000Z
9185.58126105,2020-06-30T00:00:00.000Z
9072.85007426,2020-07-06T00:00:00.000Z
9277.2046601,2020-07-13T00:00:00.000Z
9158.00603543,2020-07-19T00:00:00.000Z
9680.23483128,2020-07-26T00:00:00.000Z
11322.5705008,2020-08-01T00:00:00.000Z
11604.5533476,2020-08-08T00:00:00.000Z
11772.6593859,2020-08-14T00:00:00.000Z
11878.026439,2020-08-21T00:00:00.000Z
11485.6083964,2020-08-27T00:00:00.000Z
11964.8228043,2020-09-02T00:00:00.000Z
10134.1515061,2020-09-09T00:00:00.000Z
10677.7548513,2020-09-15T00:00:00.000Z
10459.6245084,2020-09-22T00:00:00.000Z
10776.6136391,2020-09-28T00:00:00.000Z
10676.52895637,2020-10-05T00:00:00.000Z
11296.08178425,2020-10-11T00:00:00.000Z
11355.98226642,2020-10-18T00:00:00.000Z
12931.57391476,2020-10-24T00:00:00.000Z
13437.87353717,2020-10-30T00:00:00.000Z
15579.72923853,2020-11-06T00:00:00.000Z
15701.29906726,2020-11-12T00:00:00.000Z
17803.86174661,2020-11-19T00:00:00.000Z
19104.40961035,2020-11-25T00:00:00.000Z
18801.74359314,2020-12-02T00:00:00.000Z
19191.52946283,2020-12-08T00:00:00.000Z
